name,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR
Conrad Bortz (New Earth),,,Red Hair,Male Characters,,5,1987
Djinn (New Earth),Bad Characters,,,Male Characters,,5,1987
Echidna (New Earth),Bad Characters,,,Female Characters,,5,1987
Elemental Woman (New Earth),Bad Characters,,White Hair,Female Characters,,5,1987
Graham Gault (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,5,1987
Henry Yarrow (New Earth),Bad Characters,,Grey Hair,Male Characters,,5,1987
Matthew Michaelis (New Earth),,,Brown Hair,Male Characters,,5,1987
Randall Truman (New Earth),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,5,1987
Rot Lop Fan (New Earth),Good Characters,,,Male Characters,,5,1987
Silver Scarab II (New Earth),Bad Characters,,,Male Characters,,5,1987
Stanley Merkel (New Earth),Good Characters,,Black Hair,Male Characters,,5,1987
Thelma Gordon (New Earth),Neutral Characters,,,Female Characters,,5,1987
Titano (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,5,1987
Willis Todd (New Earth),Bad Characters,,Brown Hair,Male Characters,,5,1987
Brittany Brandon (New Earth),Neutral Characters,Blue Eyes,Platinum Blond Hair,Female Characters,,5,1986
Burt Weston (New Earth),Bad Characters,,,Male Characters,,5,1986
Cimfet Tau (New Earth),Good Characters,Black Eyes,,Male Characters,,5,1986
Cossack the Dark Rider (New Earth),Bad Characters,,,Male Characters,,5,1986
Deron Ved (Earth-One),Bad Characters,Blue Eyes,Reddish Brown Hair,Male Characters,,5,1986
Maxwell Loomis (New Earth),Good Characters,,Brown Hair,Male Characters,,5,1986
Mitsu-Bishi (New Earth),,,,Male Characters,,5,1986
Thomas Bolt (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,5,1986
Whiteout (New Earth),Bad Characters,White Eyes,White Hair,Male Characters,,5,1986
Chroma (New Earth),Bad Characters,Red Eyes,White Hair,Male Characters,,5,1985
Invunche (New Earth),Bad Characters,,,,,5,1985
Quaar (New Earth),Good Characters,,,Male Characters,,5,1985
Bekka (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,,5,1984
Chaon (New Earth),Bad Characters,,,Male Characters,,5,1984
Henry Evans (New Earth),Good Characters,,Brown Hair,Male Characters,,5,1984
Nox (New Earth),Bad Characters,,,Female Characters,,5,1984
Syrra (New Earth),Good Characters,,Blond Hair,Female Characters,,5,1984
Vengeance (New Earth),Bad Characters,,,Male Characters,,5,1984
Jason Hart (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,5,1983
Kaylark (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,5,1983
Krista X (New Earth),Good Characters,,Red Hair,Female Characters,,5,1983
Lady Moonstone (New Earth),Good Characters,,Black Hair,Female Characters,,5,1983
Laral (New Earth),Good Characters,,Blond Hair,Female Characters,,5,1983
Lord Ruby (New Earth),Good Characters,Red Eyes,White Hair,Male Characters,,5,1983
Okonoko (New Earth),Good Characters,Black Eyes,,Male Characters,,5,1983
Remnant Nod (New Earth),Good Characters,,White Hair,Male Characters,,5,1983
Takeo Sato (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,5,1983
Silhouette (New Earth),Bad Characters,,,Male Characters,,5,1982
Dunya Mishkin (New Earth),Bad Characters,,,Female Characters,,5,1981
Malagigi (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,5,1981
Tylot (New Earth),Good Characters,,,Male Characters,,5,1981
Alexander Tuttle (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,5,1979
Cassius Bannister (Earth-One),Good Characters,Brown Eyes,Black Hair,Male Characters,,5,1979
Lyle Corley (New Earth),Bad Characters,,,Male Characters,,5,1979
Roger Romaine (New Earth),Bad Characters,,,Male Characters,,5,1979
Antithesis (New Earth),Bad Characters,Red Eyes,,Male Characters,,5,1978
Leona Pierce (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,5,1978
David Drayson (New Earth),Bad Characters,,,Male Characters,,5,1977
Earl Clifford (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,5,1977
Noh-Tante (New Earth),,,,Male Characters,,5,1977
Osira (New Earth),Bad Characters,,Black Hair,Female Characters,,5,1977
Syonide I (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,5,1977
Clement Tyme (New Earth),Bad Characters,,Red Hair,Male Characters,,5,1976
Paul Kirk III (New Earth),Good Characters,,Brown Hair,Male Characters,,5,1976
Abdul Smith (New Earth),Good Characters,,Black Hair,Male Characters,,5,1975
Cecil Sunbeam (New Earth),Good Characters,,,Male Characters,,5,1975
John Watson (New Earth),Good Characters,Blue Eyes,Grey Hair,Male Characters,,5,1975
Stacy Conwell (New Earth),Good Characters,,Blond Hair,Female Characters,,5,1975
All-Widow (New Earth),Good Characters,,,Female Characters,,5,1972
Colonel Sulphur (New Earth),Bad Characters,Blue Eyes,Black Hair,Male Characters,,5,1972
Eric Russell (New Earth),Good Characters,,,Male Characters,,5,1971
Fran Russell (New Earth),Good Characters,,,Female Characters,,5,1971
Jack the Ripper (New Earth),,Black Eyes,Black Hair,Male Characters,,5,1971
Janet Jones (New Earth),Good Characters,,Blond Hair,Female Characters,,5,1969
Rori Dag (New Earth),Good Characters,,Red Hair,Male Characters,,5,1969
Terataya (New Earth),,,,Female Characters,,5,1968
Ned Creegan (New Earth),Bad Characters,Black Eyes,Brown Hair,Male Characters,,5,1967
Doc Dread (New Earth),Bad Characters,,,Male Characters,,5,1966
Dela Pharon (New Earth),Bad Characters,,Blond Hair,Female Characters,,5,1965
Juan Vallambrosa (New Earth),,,Black Hair,Male Characters,,5,1965
Maxwell Tremaine (New Earth),Bad Characters,,White Hair,Male Characters,,5,1965
Robot 32198 (New Earth),Good Characters,Red Eyes,,Male Characters,,5,1965
Perseus (New Earth),Good Characters,,Black Hair,Male Characters,,5,1964
Canary (New Earth),Good Characters,,,Male Characters,,5,1963
Edward Burke (New Earth),Bad Characters,,,Male Characters,,5,1961
Peter the Puffer Fish (New Earth),,,,Male Characters,,5,1960
Minister Blizzard (New Earth),Bad Characters,,Black Hair,Male Characters,,5,1948
Racer the Horse (New Earth),Good Characters,,,,,5,1948
Worla (New Earth),,,,Male Characters,,5,1946
J. Wilbur Wolfingham (New Earth),Bad Characters,Blue Eyes,,Male Characters,,5,1944
Robbie the Robot Dog (New Earth),Good Characters,,,Male Characters,,5,1944
Elmer Pane (New Earth),Bad Characters,,Brown Hair,Male Characters,,5,1943
Socker Smith (New Earth),Good Characters,,Brown Hair,Male Characters,,5,1942
Charles Lane (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,5,1941
Mortimer Wackey (New Earth),Good Characters,,White Hair,Male Characters,,5,1941
Nyola (Earth-Two),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,5,1940
Scott Spencer (New Earth),Neutral Characters,,Black Hair,Male Characters,,5,
Maria Montez (New Earth),,,,Female Characters,,5,
"Diana, Goddess of the Hunt (New Earth)",Good Characters,,,Female Characters,,5,
Gregory the Gargoyle (New Earth),Good Characters,,,Male Characters,,5,
Minerva (Roman Goddess) (New Earth),Good Characters,,,Female Characters,,5,
Auerbach (New Earth),,,Brown Hair,Male Characters,,5,
Barack Obama (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,4,2011
Bobbie Stephenson (New Earth),Good Characters,,Black Hair,Female Characters,,4,2011
Daniel Rogers (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2011
Darknight (New Earth),Good Characters,,,Male Characters,,4,2011
Darla Dudley (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,4,2011
Dawn Golden (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,4,2011
Delores Stebbins (New Earth),Bad Characters,Black Eyes,Red Hair,Female Characters,,4,2011
Eugene Choi (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,4,2011
Funerella (New Earth),Bad Characters,,White Hair,Female Characters,,4,2011
King Bullet (New Earth),Bad Characters,,,Male Characters,,4,2011
Nemesis (New Earth),Bad Characters,,,Female Characters,,4,2011
Nun the Less (New Earth),,,,Female Characters,,4,2011
Pedro Pe\u00f1a (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,4,2011
Penelope Black (New Earth),Good Characters,,Black Hair,Female Characters,,4,2011
Promise (New Earth),Neutral Characters,Black Eyes,Blond Hair,Female Characters,,4,2011
Ri (New Earth),Good Characters,Black Eyes,Black Hair,Female Characters,,4,2011
Sasha Lo (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,4,2011
Sawtooth (New Earth),Bad Characters,,,Male Characters,,4,2011
Therestra (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,4,2011
Xane Swift (New Earth),Bad Characters,,,Male Characters,,4,2011
Alisa Adams (New Earth),,Brown Eyes,Brown Hair,Female Characters,,4,2010
Captain Murder (New Earth),Bad Characters,,Black Hair,Female Characters,,4,2010
Captain Swastika (New Earth),Bad Characters,,,Male Characters,,4,2010
Catherine Van Derm (New Earth),Good Characters,Green Eyes,Red Hair,Female Characters,,4,2010
Count Berlin (New Earth),Bad Characters,,,Male Characters,,4,2010
Dead Hand Legendre (New Earth),Bad Characters,,,Male Characters,,4,2010
DJ Molecule (New Earth),Bad Characters,,,Male Characters,,4,2010
Funnel (New Earth),Bad Characters,Black Eyes,Black Hair,Female Characters,,4,2010
Fuseli (New Earth),Bad Characters,,,Male Characters,,4,2010
Hunter (New Earth),Bad Characters,,,Male Characters,,4,2010
Khea Taramka (New Earth),Bad Characters,Black Eyes,Black Hair,Female Characters,,4,2010
Milkman (New Earth),Good Characters,,,Male Characters,,4,2010
N.R.G.-X II (New Earth),Bad Characters,Red Eyes,,Male Characters,,4,2010
Nasreen Samari (New Earth),Neutral Characters,Brown Eyes,Black Hair,Female Characters,,4,2010
Nell Little (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,4,2010
Neon Black (New Earth),Bad Characters,Green Eyes,Black Hair,Male Characters,,4,2010
Nicole Morrison (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,4,2010
Omega Man (New Earth),Bad Characters,Red Eyes,,Male Characters,,4,2010
Randall Mikavic (New Earth),Bad Characters,Grey Eyes,,Male Characters,,4,2010
Recluse (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2010
Roshanna Chatterji (New Earth),,Brown Eyes,Black Hair,Female Characters,,4,2010
Shadow of War (New Earth),Bad Characters,,,Female Characters,,4,2010
Thomas Tomorrow (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,4,2010
Veritas (New Earth),Bad Characters,,,Male Characters,,4,2010
Vohc (New Earth),,Blue Eyes,,Male Characters,,4,2010
Winslow Heath (New Earth),Bad Characters,Green Eyes,Green Hair,Male Characters,,4,2010
"Alan von Neumann, Jr. (New Earth)",Bad Characters,,,Male Characters,,4,2009
Amon (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2009
Archer (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2009
Ariadne Persakis (New Earth),Bad Characters,,,Female Characters,,4,2009
Az-Rel (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2009
Bettie Reynolds (New Earth),Good Characters,Brown Eyes,Blond Hair,Female Characters,,4,2009
Daystar (New Earth),Bad Characters,,,Transgender Characters,,4,2009
Expediter (New Earth),Bad Characters,,Black Hair,Male Characters,,4,2009
Getorix (New Earth),Neutral Characters,,,Male Characters,,4,2009
Giuana (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,4,2009
Lena Luthor I (New Earth),,,,Female Characters,,4,2009
Malavar (New Earth),Good Characters,,,Male Characters,,4,2009
Mark Sunderland (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,4,2009
Miss Bloss (New Earth),Neutral Characters,White Eyes,Black Hair,Female Characters,,4,2009
Nadira Va-Dim (New Earth),Bad Characters,,Brown Hair,Female Characters,,4,2009
Owens (New Earth),Bad Characters,,,Male Characters,,4,2009
Pele (New Earth),Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,4,2009
Pristine (New Earth),Good Characters,,Red Hair,Female Characters,,4,2009
Richard Faulkner (New Earth),Bad Characters,,Black Hair,Male Characters,,4,2009
TNTeena (New Earth),,,Blond Hair,Female Characters,,4,2009
Unimate (New Earth),Bad Characters,,,Male Characters,,4,2009
Vitoria (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,4,2009
Widower (New Earth),Bad Characters,,,Male Characters,,4,2009
Zeddmore Washington (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,2009
Braach (New Earth),Bad Characters,,,Male Characters,,4,2008
Caretaker (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2008
Carlo Calzone (New Earth),Bad Characters,Black Eyes,Red Hair,Male Characters,,4,2008
Citizen X (New Earth),Good Characters,,,Male Characters,,4,2008
Cosmo Racer (New Earth),Good Characters,,,Male Characters,,4,2008
Dennis Finnegan (New Earth),Bad Characters,,,Male Characters,,4,2008
Diamond (New Earth),Bad Characters,,Blond Hair,Female Characters,,4,2008
Elliot Caldwell (New Earth),Bad Characters,,,Male Characters,,4,2008
Gizmo II (New Earth),Bad Characters,,,Male Characters,,4,2008
Graak (New Earth),Bad Characters,,,Male Characters,,4,2008
Gwendolyn Lane (New Earth),Good Characters,,Black Hair,Female Characters,,4,2008
Insect Queen (New Earth),Bad Characters,,Red Hair,Female Characters,,4,2008
Jacob (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,4,2008
Jared (New Earth),Bad Characters,Red Eyes,Black Hair,Male Characters,,4,2008
King Kraken (New Earth),Bad Characters,,,Male Characters,,4,2008
Kusanagi (New Earth),Good Characters,Black Eyes,Grey Hair,Female Characters,,4,2008
Matchmaker (New Earth),Bad Characters,,Black Hair,Male Characters,,4,2008
Matris Ater Clementia (New Earth),Good Characters,Pink Eyes,,Female Characters,,4,2008
Maximillion (New Earth),Bad Characters,,,,,4,2008
Qi-Yu (New Earth),Bad Characters,,,Male Characters,,4,2008
"Radiant, Spirit of Mercy (New Earth)",Neutral Characters,,,Female Characters,,4,2008
The Thief (New Earth),Bad Characters,Green Eyes,Brown Hair,Male Characters,,4,2008
Titus (New Earth),Bad Characters,Black Eyes,Black Hair,Male Characters,,4,2008
Zale (New Earth),Good Characters,,Black Hair,Female Characters,,4,2008
Amina Franklin (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,4,2007
Bizarro Green Lantern (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2007
Bizarro Hawkgirl (New Earth),Bad Characters,,,Female Characters,,4,2007
Bizarro Lex Luthor (New Earth),Bad Characters,Black Eyes,,Male Characters,,4,2007
Bizarro Perry White (New Earth),Neutral Characters,,,Male Characters,,4,2007
Cundiff Cood (New Earth),Good Characters,,,Male Characters,,4,2007
Dusan al Ghul (New Earth),Bad Characters,Black Eyes,White Hair,Male Characters,,4,2007
Elias Stone (New Earth),Good Characters,Black Eyes,Black Hair,Male Characters,,4,2007
Gorflack (New Earth),Good Characters,Green Eyes,Brown Hair,Male Characters,,4,2007
Hassan the Mummy (New Earth),Good Characters,,,Male Characters,,4,2007
Krusivax (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,2007
Lucas Terrel (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,4,2007
Phosphorus Rex (New Earth),Bad Characters,,,Male Characters,,4,2007
Reichsmark (New Earth),Bad Characters,,,Male Characters,,4,2007
Rena (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,,4,2007
Shaggy Man III (New Earth),Bad Characters,Red Eyes,Brown Hair,Male Characters,,4,2007
Vortigar (New Earth),Bad Characters,Orange Eyes,Brown Hair,Male Characters,,4,2007
Wayne Franklin (New Earth),Bad Characters,,,Male Characters,,4,2007
Alexander Ferguson (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,4,2006
Americommando II (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,2006
Arx (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2006
Auctioneer (New Earth),Bad Characters,Green Eyes,,Male Characters,,4,2006
Bagman (New Earth),Bad Characters,White Eyes,,Male Characters,,4,2006
Danielle Garrett (New Earth),Good Characters,,Blond Hair,Female Characters,,4,2006
Diviner (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,4,2006
Ekron (New Earth),Neutral Characters,Green Eyes,,Male Characters,,4,2006
Face (S.H.A.D.E.) (New Earth),Bad Characters,,,Male Characters,,4,2006
Khalid (New Earth),Good Characters,,Black Hair,Male Characters,,4,2006
Lady Liberty V (New Earth),Bad Characters,,Black Hair,Female Characters,,4,2006
Luke Thatcher (New Earth),Bad Characters,,,Male Characters,,4,2006
Markot Five (New Earth),Good Characters,,,Male Characters,,4,2006
Mas y Menos (New Earth),Good Characters,Black Eyes,,Male Characters,,4,2006
Molecule (New Earth),Good Characters,,Blond Hair,Male Characters,,4,2006
Myrrt (New Earth),,Black Eyes,Brown Hair,Male Characters,,4,2006
Pi\u00f1ata (New Earth),Neutral Characters,,,Female Characters,,4,2006
Probe (New Earth),Neutral Characters,,Black Hair,Female Characters,,4,2006
Railgun (New Earth),Bad Characters,,,Male Characters,,4,2006
Roxanne Sutton (New Earth),Bad Characters,Green Eyes,Red Hair,Female Characters,,4,2006
Saber (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,4,2006
Spin Doctor II (New Earth),Bad Characters,,,Female Characters,,4,2006
Tally Man II (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,2006
Talon (Earth-3),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,4,2006
White Rabbit (New Earth),Bad Characters,,White Hair,Male Characters,,4,2006
Carla Marcus (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,4,2005
Deuce Canyard (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,2005
Eve II (New Earth),Bad Characters,,,Female Characters,,4,2005
Firebug III (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,2005
Kieran Calahan (New Earth),Good Characters,,Blond Hair,Male Characters,,4,2005
Lucia (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,,4,2005
Mad Dog (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,2005
Pandora II (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,4,2005
Soldado (New Earth),,Brown Eyes,Brown Hair,Male Characters,,4,2005
Vincenzo Baldi (New Earth),Neutral Characters,,Black Hair,Male Characters,,4,2005
August Davezak (New Earth),Bad Characters,,,Male Characters,,4,2004
Elihu Washburn (New Earth),,,,Male Characters,,4,2004
Fetch (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,4,2004
Gideon Rivers (New Earth),Good Characters,,Black Hair,Male Characters,,4,2004
Rubber Maid (New Earth),Bad Characters,,,Female Characters,,4,2004
Sigourney Amundsen (New Earth),Good Characters,Green Eyes,Blond Hair,Female Characters,,4,2004
Daedalus Boch (New Earth),,,Black Hair,Male Characters,,4,2003
Judith Benoir (New Earth),,Blue Eyes,Red Hair,Female Characters,,4,2003
Major Victory II (New Earth),Good Characters,,,Male Characters,,4,2003
Nnamdi (New Earth),Good Characters,Red Eyes,Black Hair,Male Characters,,4,2003
Tucker Long (New Earth),,,,Male Characters,,4,2003
Ubermensch II (New Earth),Bad Characters,Blue Eyes,,Male Characters,,4,2003
Ale (New Earth),,White Eyes,Grey Hair,Female Characters,,4,2002
Ariadne Pinxit (New Earth),Bad Characters,Blue Eyes,Blond Hair,Female Characters,,4,2002
Byakko (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,4,2002
Diana Prince (New Earth),Good Characters,,Black Hair,Female Characters,,4,2002
Lady Zand (New Earth),Bad Characters,Blue Eyes,Brown Hair,Female Characters,,4,2002
Nia (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,4,2002
Rachel Berkowitz (New Earth),Bad Characters,,Black Hair,Female Characters,,4,2002
Sakki (New Earth),Bad Characters,Red Eyes,,Male Characters,,4,2002
Valadin (New Earth),Good Characters,,,Male Characters,,4,2002
Bunny (The Elite),,,,Female Characters,,4,2001
Falizia (New Earth),Good Characters,Brown Eyes,Brown Hair,Female Characters,,4,2001
Patricia Dugan (New Earth),,Green Eyes,Red Hair,Female Characters,,4,2001
Todd Oszechorski (New Earth),Bad Characters,Brown Eyes,Blond Hair,Male Characters,,4,2001
Clifford Grimm (New Earth),Bad Characters,,White Hair,Male Characters,,4,2000
Fear (New Earth),Bad Characters,,,Female Characters,,4,2000
Gorgeous Gilly (New Earth),Bad Characters,,,Female Characters,,4,2000
Grace Balin (New Earth),Bad Characters,,,Female Characters,,4,2000
Loathing (New Earth),Bad Characters,,,Male Characters,,4,2000
Marc Navarone (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,2000
Provoke (New Earth),Bad Characters,,Black Hair,Male Characters,,4,2000
Samuel Yates (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,4,2000
Shock Trauma (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,2000
Star (New Earth),,,White Hair,Female Characters,,4,2000
Sylvan Scofield (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,4,2000
Turk (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,4,2000
Al Bizarro (New Earth),Good Characters,,Black Hair,Male Characters,,4,1999
Angelo Mirti (New Earth),Bad Characters,Black Eyes,Grey Hair,Male Characters,,4,1999
Bethany McCade (New Earth),Good Characters,,Black Hair,Female Characters,,4,1999
Dee Noyz (New Earth),Bad Characters,,,Male Characters,,4,1999
Isabelle Cheranova (New Earth),Bad Characters,Hazel Eyes,Red Hair,Female Characters,,4,1999
Kali (New Earth),,Brown Eyes,Black Hair,Female Characters,,4,1999
Lkz (New Earth),Bad Characters,,,Male Characters,,4,1999
Rebecca McFadden (New Earth),Good Characters,Green Eyes,Brown Hair,Female Characters,,4,1999
Richard Destine (New Earth),Neutral Characters,,Blond Hair,Male Characters,,4,1999
Waterman (New Earth),Bad Characters,,Black Hair,Male Characters,,4,1999
William Hayes (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,1999
Ariella Kent (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,4,1998
Batrok (New Earth),Bad Characters,,Grey Hair,Male Characters,,4,1998
Biff Bradley (New Earth),Good Characters,,Brown Hair,Male Characters,,4,1998
Claudio Volpe (New Earth),Bad Characters,Brown Eyes,Blond Hair,Male Characters,,4,1998
Dava Sborsc (New Earth),Good Characters,,Red Hair,Female Characters,,4,1998
Ellison (New Earth),Good Characters,,,Male Characters,,4,1998
Great Caesar (New Earth),Good Characters,,Orange Hair,Male Characters,,4,1998
Joshua Stanzland (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,1998
Mark Meachum (New Earth),Bad Characters,Blue Eyes,,Male Characters,,4,1998
Miss Fear (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,,4,1998
Scarlet Rose (New Earth),Bad Characters,White Eyes,Brown Hair,Female Characters,,4,1998
Skull (New Earth),Bad Characters,,,Male Characters,,4,1998
Solution (New Earth),Good Characters,,,Male Characters,,4,1998
Armitage Hawsley (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,1997
Bradford Sackett (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1997
Chas Parmenter (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1997
Craig Windrow (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,4,1997
Eudia (New Earth),Good Characters,,,Female Characters,,4,1997
Francis Beauvedere (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,1997
Nicholas Kotero (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1997
Nora Fries (New Earth),,,Blond Hair,Female Characters,,4,1997
Twelfth Knight (New Earth),Good Characters,,,Male Characters,,4,1997
Wiley Dalbert (New Earth),Neutral Characters,,,Male Characters,,4,1997
Archer Braun (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,4,1996
Dalkriig-Hath (New Earth),Bad Characters,White Eyes,Black Hair,Male Characters,,4,1996
Deadfall I (New Earth),Good Characters,,Brown Hair,Male Characters,,4,1996
Eldon Adams (New Earth),Bad Characters,,Black Hair,Male Characters,,4,1996
Floyd Barstow (New Earth),Bad Characters,,,Male Characters,,4,1996
Guardian of Hy-Brasil (New Earth),Good Characters,,Green Hair,Female Characters,,4,1996
Johnny Navarone (New Earth),Neutral Characters,,Black Hair,Male Characters,,4,1996
JT Burns (New Earth),Bad Characters,,Brown Hair,Female Characters,,4,1996
Jugular (New Earth),Bad Characters,,Red Hair,Male Characters,,4,1996
Know Man (New Earth),Bad Characters,,Purple Hair,Male Characters,,4,1996
Longshadow (New Earth),Bad Characters,,Black Hair,Male Characters,,4,1996
Mattie Harcourt (New Earth),,Brown Eyes,Black Hair,Female Characters,,4,1996
Mr. Feekle (New Earth),Bad Characters,,,Male Characters,,4,1996
Nathaniel (New Earth),Good Characters,,White Hair,Male Characters,,4,1996
Nicky Lincoln (New Earth),Bad Characters,,,Male Characters,,4,1996
Phat-Boy (New Earth),Good Characters,,,Male Characters,,4,1996
Sureshot (New Earth),Good Characters,,Blond Hair,Male Characters,,4,1996
Alan Armstrong (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,4,1995
Barbarian (New Earth),Bad Characters,,,Male Characters,,4,1995
Battleax (New Earth),Good Characters,,,Female Characters,,4,1995
Bomber (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1995
Devlin (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1995
Highkick (New Earth),Bad Characters,,,Male Characters,,4,1995
Jacob Bernstein (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,4,1995
Jacob Freeman (New Earth),Good Characters,Black Eyes,Grey Hair,Male Characters,,4,1995
Joshua Wayne (New Earth),Good Characters,,Brown Hair,Male Characters,,4,1995
Julie Caesar (New Earth),Bad Characters,,Red Hair,Male Characters,,4,1995
Madolyn Corbett (New Earth),Neutral Characters,Auburn Hair,,Female Characters,,4,1995
Paul Christian (New Earth),Bad Characters,Brown Eyes,Brown Hair,Male Characters,,4,1995
Rafael Harris (New Earth),Neutral Characters,Brown Eyes,Black Hair,Male Characters,,4,1995
Rollo (New Earth),Bad Characters,,,Male Characters,,4,1995
Shiv II (New Earth),Bad Characters,Blue Eyes,Blond Hair,Male Characters,,4,1995
Spindoc (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,1995
Technician (New Earth),Bad Characters,Brown Eyes,Black Hair,Male Characters,,4,1995
Traxx (New Earth),Bad Characters,,,Male Characters,,4,1995
Uptown (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1995
Veronica Dale (New Earth),Bad Characters,,Brown Hair,Female Characters,,4,1995
William Baker (New Earth),Neutral Characters,,Black Hair,Male Characters,,4,1995
Zharan Pel (New Earth),Good Characters,,,Male Characters,,4,1995
Bocor (New Earth),Bad Characters,Brown Eyes,,Male Characters,,4,1994
Brontes (New Earth),Neutral Characters,,Brown Hair,Male Characters,,4,1994
Carlton Slater (New Earth),Bad Characters,,Blond Hair,Male Characters,,4,1994
Cricket Kelly (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,4,1994
Daedalus (New Earth),Neutral Characters,,,Male Characters,,4,1994
Jeven Ognats (Post-Zero Hour),Good Characters,Brown Eyes,Brown Hair,Male Characters,,4,1994
Madeline Giles (New Earth),Bad Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,4,1994
Madison Claiborne (New Earth),Bad Characters,,Brown Hair,Male Characters,,4,1994
